X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,Y
3,9638,539,109,10,89,1,3551,5,3689,581,29,36,1,32,2163,16,1,421,8446,11,31,5624,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2886,2,373,539,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,234,320,5,290,109,30,1,9953,530,5,3,865,237,379,104,3,328,5,3575,4419,4,3,2082,1444,6,1719,791,35,102,1668,4,11070,1229,8,887,125,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,474,274,300,2,4,3,472,1392,5,106,281,81,321,209,61,579,3798,2,9232,2,4,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2687,3529,43,2,479,816,4,2800,2145,2,7,3,1029,16,19,7292,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,179,1,18,7,3,1270,4642,467,1370,318,2576,11689,90,12,16381,196,34,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5343,5,15576,4,8850,8,4778,507,60,447,37,21,1713,45,21,130,519,2,42,2653,76,651,41,1327,9,190,8850,8,13428,7,3912,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,337,32,17661,1065,34,10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,17,18,197,3,441,2,9,84,22,3,3168,5742,2,21,182,23,1218,6,113,45,1011,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2391,2472,88,6,5529,1,496,5,819,10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1056,4,1014,659,32,1014,34,10764,1198,13,3,68,1843,84,37,565,3,117,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,8,1,87,14,5,1,155,39,163,2,1,8451,542,89,36,134,87,175,7165,111,22,2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
983,6,232,2,13,452,1799,6,198,3,1415,60,22,3374,15,110,5,1,155,8,54,1500,4,1127,14,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,7,3,2163,14,11,257,21,3,282,2,4562,1082,746,5,1601,4862,82,489,6,1,8818,4229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1165,58,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,168,3903,3658,1193,2,2271,7,12,1495,12,3,18,222,191,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,1,6979,7,139,1785,4,681,5933,2,19,5228,29,1488,401,6,121,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
270,2,9398,4,372,13158,3,2621,2,2273,71,1422,5,464,10,1,808,2,75,3365,11,46,8,119,3,211,5,82,10,2014,2083,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,2214,7,3,399,15,3,148,1526,16,676,4593,4,455,2,4,17,7,3,131,14,34,38,2045,1705,1454,18,2,1,16898,3279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,18,7,3,2727,5,2697,429,2,12,4788,546,4,10192,1421,6536,21,104,1,677,5562,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1015,18,15,107,11,8,778,24,1,2839,4,3,43,21,316,30,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6434,5248,2,1,66,5,2076,2,1874,1,3993,63,2,222,3,715,8109,121,35,38,2410,2,8709,88,15,1,18,8,11460,4,580,3431,8,936,6,22,2504,4,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4598,5,1,260,7,119,5474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8423,580,4052,1132,2,2292,6066,5,13139,2,119,6755,4,375,124,2267,6,2267,14526,5,18311,194,38,347,6,878,38,1568,299,2,13,54,435,5,36,7,1,1568,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1,14,8,183,14447,1597,4689,5,1335,6799,16812,2,9,8,2312,135,136,6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,8659,8,546,4371,1,14,3577,488,1,418,5,134,320,5,290,122,9,8,144,39,3961,11,9,8,167,6,133,224,52,1,6467,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,129,394,2,17,18,4429,3,1281,2,1220,151,5,539,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,3,6550,171,808,2,191,8674,84,22,602,77,6,812,20,11096,3319,24,1,1674,1650,13,10,1043,1892,1024,2,1,508,361,8757,52,1,17242,9082,6121,50,26,1,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,66,3705,6760,283,1,16229,5,3,18134,1550,1115,4,2087,11,31,14824,52,16565,2785,4,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4651,5348,482,5,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1417,59,5,1562,99,41,91,203,9,2,13,41,91,3462,33,106,848,9,5889,35,195,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2117,7,1051,2,5485,2,3610,2,444,4716,10,19,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3232,2735,8,5802,7,9366,14442,33,12996,6180,4,7188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1071,3045,14,30,866,790,231,466,1391,48,384,20,8134,1088,81,75,751,6,198,72,899,52,1271,3255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,1210,2,9,8,3,2108,24,1,531,526,295,2,13,9,31,3,211,10,1540,15,14966,8,4,4110,8,2045,90,2,122,28,1,1570,82,5,14194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1302,11,37,1751,1,2135,3180,270,104,890,2647,4,6193,70,39,265,1364,2,152,3092,4,1806,327,5969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,9,8,616,16,3,535,6,6833,1,214,2,218,14811,53,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,204,58,11,5078,26,1,2482,5,19,115,152,7442,5586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4334,1391,2,589,6976,2,5297,6532,2,4,36,1,17491,1012,15577,5391,75,61,3128,9,8,1,924,6067,702,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14,7,162,697,15,3,154,5,759,9808,4,1133,25,162,202,10,1119,8,245,12628,16829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,141,22,3925,6,4544,307,5459,4,38,8370,12,9035,2,13,307,5442,8,17682,2,375,18,1178,88,6,113,114,2,597,2,12,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,158,51,175,10,1,87,154,5,1,3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2256,4,404,15,3,15533,242,10275,1,90,5,38,1325,2,3850,353,1,336,5,1,180,24,19,492,2,264,9,2654,2,4001,132,871,94,3086,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,393,373,2,667,4,2801,1797,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,8,17,792,12,1131,12497,11,257,2111,82,19,5221,6186,2,8280,11,117,1751,18085,29,946,496,2,4,11,11917,114,16715,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
